"UniqueId";"Email";"Phone";"confirmationEmail";"RegistrationDate"
"1";"usertest01@mailinator.com";"085612345678";"0";"2018-05-07 22:52:03"
"2";"usertest02@mailinator.com";"083212345678";"0";"2018-03-17 14:57:38"
"3";"usertest03@pahamify.com";"081212345678";"1";"2018-03-17 14:57:38"
"4";"usertest04@mailinator.com";"085612345678";"0";"2018-03-17 14:57:38"
"5";"usertest05@mailinator.com";"085612345678";"0";"2018-03-17 14:57:38"
"6";"usertest06@mailinator.com";"085612345678";"1";"2018-03-17 14:57:38"
"7";"usertest07@gmail.com";"085612345678";"1";"2018-03-17 14:57:38"
"8";"usertest08@mailinator.com";"085612345678";"0";"2018-05-12 02:05:41"
"9";"usertest0@mailinator.com";"085612345678";"1";"2018-05-12 05:04:05"
"10";"usertest10@mailinator.com";"085612345678";"0";"2018-05-13 18:19:01"
"11";"usertest11@gmail.com";"+628112345678";"0";"2018-05-25 07:34:05"
"12";"usertest12@mailinator.com";"085612345678";"1";"2018-07-13 00:00:00"
"13";"usertest13@mailinator.com";"+6285612345678";"1";"2018-07-13 00:00:00"
"14";"usertest14@mailinator.com";"085612345678";"1";"2018-07-13 00:00:00"
"15";"usertest15@mailinator.com";"085612345678";"1";"2018-07-13 00:00:00"
"19";"usertest19@mailinator.com";"085612345678";"1";"2018-07-26 09:46:10"
"20";"usertest20@mailinator.com";"+6285112345678";"1";"2018-07-27 07:40:01"
"21";"usertest21@mailinator.com";"+6284512345678";"1";"2018-07-27 07:45:25"
"22";"usertest22@mailinator.com";"+6284512345678";"1";"2018-07-27 07:53:50"
"23";"usertest23@mailinator.com";"+6284512345678";"1";"2018-07-27 08:57:25"
"24";"usertest24@mailinator.com";"+6284512345678";"1";"2018-07-27 12:09:10"
"25";"edriatest6@mailinator.com";"+62845767878";"1";"2018-07-27 12:14:19"
"26";"usertest26@mailinator.com";"+6287512312345";"1";"2018-07-27 12:23:22"
"27";"usertest27@mailinator.com";"+62857123321445";"1";"2018-07-29 12:41:53"
"28";"usertest28@mailinator.com";"+6284512332112";"0";"2018-08-03 04:11:46"
"29";"usertest29@mailinator.com";"6281512332112";"0";"2018-08-04 08:37:34"
"30";"usertest30@mailinator.com";"+6281212332112";"1";"2018-08-06 13:15:50"
"31";"usertest31@mailinator.com";"+628112332112";"1";"2018-08-07 02:48:03"
"32";"usertest32@mailinator.com";"+6281312332112";"1";"2018-08-07 10:25:06"
"33";"usertest33@mailinator.com";"+6285812332112";"1";"2018-08-07 10:25:32"
"34";"usertest34@mailinator.com";"+6281212332112";"1";"2018-08-07 10:25:57"
"35";"usertest35@mailinator.com";"+6289645665334";"1";"2018-08-07 10:26:06"
"36";"usertest36@mailinator.com";"+6281545665445";"1";"2018-08-07 10:27:08"
"37";"usertest37@mailinator.com";"+6281245665445";"1";"2018-08-07 10:29:18"
"38";"usertest38@mailinator.com";"+6289545665445";"1";"2018-08-07 10:34:27"
"39";"usertest3@mailinator.com";"+6268545665";"1";"2018-08-07 11:41:53"
"40";"usertest40@mailinator.com";"+628544566545";"1";"2018-08-07 11:51:23"
"41";"usertest41@mailinator.com";"+6285812345665";"1";"2018-08-07 13:03:42"
"42";"usertest42@pahamify.com";"085612345678";"1";"2018-08-09 04:49:08"
"43";"usertest43@gmail.com";"+628156789065";"1";"2018-08-09 05:33:15"
"44";"usertest44@mailinator.com";"+6289565432134";"1";"2018-08-10 04:26:12"
"45";"usertest45@gmail.com";"+6281512332145";"1";"2018-08-16 17:37:03"
"46";"usertest46@mailinator.com";"+62811234567";"1";"2018-08-17 03:10:50"
"47";"usertest47@gmail.com";"+62941234654";"1";"2018-08-17 03:14:02"
"48";"usertest48@mailinator.com";"+6281212343212";"1";"2018-08-18 09:39:10"
"49";"usertest49@mailinator.com";"+6289123321223";"1";"2018-08-18 18:15:47"
"50";"usertest50@mailinator.com";"+6281212345654";"1";"2018-08-19 04:30:29"
"51";"usertest51@mailinator.com";"+621234532123";"1";"2018-08-19 04:34:13"
"52";"usertest52@mailinator.com";"+6282212332112";"1";"2018-08-19 09:32:52"
"53";"usertest53@mailinator.com";"+6289612365434";"1";"2018-08-20 01:01:13"
"54";"usertest54@mailinator.com";"+628212343212";"1";"2018-08-20 12:26:05"
"55";"usertest55@mailinator.com";"+6281212345678";"1";"2018-08-21 07:28:12"
"56";"usertest56@mailinator.com";"+6285812365434";"1";"2018-08-21 07:37:46"
"57";"usertest57@mailinator.com";"+6282211223344";"1";"2018-08-21 07:39:58"
"58";"usertest58@mailinator.com";"+6285711332244";"1";"2018-08-21 07:40:21"
"59";"usertest59@mailinator.com";"+6282112213443";"1";"2018-08-21 07:44:08"
"60";"usertest60@mailinator.com";"+628121321234";"1";"2018-08-21 07:45:36"
"61";"usertest61@mailinator.com";"+6282212343213";"1";"2018-08-21 07:48:29"
"62";"usertest62@mailinator.com";"+6289512365412";"0";"2018-08-21 08:12:30"
"63";"usertest63@mailinator.com";"+6282111332244";"1";"2018-08-21 09:13:20"
"64";"usertest6@mailinator.com";"+6289611223322";"1";"2018-08-21 09:20:05"
"65";"usertest65@mailinator.com";"+62822321654";"1";"2018-08-21 09:48:28"
"66";"usertest66@mailinator.com";"+6282111224433";"1";"2018-08-21 09:51:55"
"67";"usertest67@mailinator.com";"+6283812365476";"1";"2018-08-21 10:02:12"
"68";"usertest68@mailinator.com";"+6289611333311";"1";"2018-08-21 10:11:47"
"69";"usertest69@mailinator.com";"+628991233212";"1";"2018-08-21 12:23:36"
"70";"usertest70@mailinator.com";"+6281287654321";"0";"2018-08-21 12:25:12"
"71";"usertest71@mailinator.com";"+6281212344321";"1";"2018-08-21 12:27:20"
"72";"usertest72@mailinator.com";"+6282112341324";"1";"2018-08-21 12:51:15"
"73";"usertest73@mailinator.com";"+6281212348765";"1";"2018-08-21 13:34:36"
"74";"usertest74@mailinator.com";"+6287812342634";"1";"2018-08-21 13:55:12"
"75";"usertest75@mailinator.com";"+6281287655678";"1";"2018-08-21 14:25:29"
"76";"usertest76@mailinator.com";"+6285798766789";"1";"2018-08-21 19:16:51"
