"ProfileUniqueId";"Name";"Gender";"SchoolYear";"District";"UniqueId";"ProfileFillDate";"LastProfileUpdated"
"1";"User Test 01";"L";"XI IPA";"Bali";"7";"2018-05-12 03:49:16";"2019-07-03 03:56:55"
"2";"Default";"Default";"X IPS";"Default";"9";"2018-05-12 05:06:41";"2018-05-12 05:06:41"
"3";"User Test 02";"P";"XII IPA";"Jawa Barat";"20";"2018-07-27 07:41:15";"2018-08-04 07:30:50"
"4";"User Test 03";"P";"X IPA";"Jawa Barat";"21";"2018-07-27 07:48:15";"2018-07-27 08:10:26"
"5";"User Test 04";"P";"X IPA";"Jawa Barat";"22";"2018-07-27 07:55:00";"2018-08-13 10:55:00"
"6";"User Test 05";"L";"XI IPA";"Aceh";"23";"2018-07-27 12:01:00";"2019-07-14 00:34:54"
"7";"User Test 06";"L";"XII IPA";"Aceh";"24";"2018-07-27 12:10:57";"2019-07-14 01:29:51"
"8";"XII IPA";"Default";"Default";"Default";"25";"2018-07-27 12:15:10";"2018-07-27 12:15:10"
"9";"User Test 07";"L";"XI IPA";"Aceh";"26";"2018-07-27 12:24:42";"2018-08-11 04:44:54"
"10";"Default";"Default";"XI IPA";"Default";"27";"2018-07-29 12:42:52";"2018-07-29 12:42:52"
"11";"User Test 08";"P";"XII IPA";"9";"31";"2018-08-07 06:51:39";"2019-05-24 07:24:02"
"12";"User Test 09";"P";"XII IPA";"Jawa Barat";"32";"2018-08-07 10:26:37";"2018-08-23 03:53:27"
"13";"User Test 10";"L";"XI IPA";"Jawa Barat";"33";"2018-08-07 10:26:57";"2018-08-17 12:43:13"
"14";"User Test 11";"P";"XII IPA";"9";"34";"2018-08-07 10:27:31";"2019-05-24 07:24:00"
"15";"User Test 12";"P";"XII IPA";"Jawa Barat";"36";"2018-08-07 10:30:04";"2018-08-07 10:52:03"
"16";"User Test 13";"P";"X IPA";;"37";"2018-08-07 10:30:44";"2018-08-07 10:51:40"
"17";"User Test 14";"P";"XI IPA";"Jawa Barat";"38";"2018-08-07 10:36:24";"2018-08-07 10:37:11"
"18";"User Test 15";"L";"XI IPA";"Jawa Barat";"39";"2018-08-07 11:45:18";"2018-08-07 11:48:19"
"19";"User Test 16";"L";"XII IPA";"Jawa Barat";"40";"2018-08-07 11:52:27";"2018-08-07 11:52:57"
"20";"User Test 17";"P";"XI IPA";"Jawa Barat";"41";"2018-08-07 13:04:55";"2018-08-07 13:32:16"
"21";"User Test 18";"L";"GURU SD";"Jawa Barat";"43";"2018-08-09 10:25:12";"2019-11-02 20:05:07"
"22";"User Test 19";"L";"XI IPA";"Jawa Barat";"44";"2018-08-10 04:29:15";"2018-09-05 06:58:02"
"23";"User Test 20";"L";"XII IPA";"Aceh";"30";"2018-08-13 05:34:39";"2018-08-16 11:37:29"
"24";"User Test 21";"P";"XII IPA";"Jawa Barat";"45";"2018-08-16 17:38:29";"2018-08-29 03:51:27"
"25";"User Test 22";"P";"XI IPA";"D.K.I Jakarta";"46";"2018-08-17 03:15:36";"2018-08-17 04:29:01"
"26";"User Test 25";"P";"XII IPA";"Jawa Barat";"48";"2018-08-18 09:43:00";"2018-08-23 10:34:18"
"27";"User Test 26";"L";"XII IPA";"Jawa Barat";"49";"2018-08-18 18:16:58";"2018-08-23 10:32:33"
"28";"User Test 27";"P";"XI IPA";"D.K.I Jakarta";"50";"2018-08-19 04:32:29";"2018-08-19 04:32:59"
"29";"User Test 28";"L";"XII IPA";"Jawa Barat";"51";"2018-08-19 04:35:16";"2018-08-19 04:36:03"
"30";"User Test 29";"P";"XII IPA";"Jawa Barat";"52";"2018-08-19 09:35:58";"2018-08-23 07:23:02"
"31";"User Test 30";"P";"XII IPA";;"53";"2018-08-20 01:02:21";"2018-08-20 12:00:54"
"32";"Test User 01";"P";"XII IPA";"Jawa Barat";"54";"2018-08-20 12:27:20";"2018-08-20 12:28:06"
"33";"Test User 02";"P";"XI IPA";"Kepulauan Riau";"55";"2018-08-21 07:30:16";"2018-08-23 07:20:28"
"34";"Test User 03";"L";"XI IPA";"Jawa Barat";"56";"2018-08-21 07:40:30";"2018-08-23 13:01:51"
"35";"Test User 04";"P";"XI IPA";"Jawa Barat";"58";"2018-08-21 07:41:27";"2018-08-23 12:33:22"
"36";"Test User 05";"P";"XII IPA";"Jawa Barat";"57";"2018-08-21 07:41:37";"2018-08-21 07:42:26"
"37";"Test User 06";"P";"XI IPA";"Jawa Tengah";"59";"2018-08-21 07:45:33";"2018-08-22 00:25:59"
"38";"Test User 07";"L";"XI IPA";"D.K.I Jakarta";"60";"2018-08-21 07:46:25";"2018-08-22 02:21:44"
"39";"Test User 08";"P";"XI IPA";"Jawa Timur";"61";"2018-08-21 07:57:11";"2018-08-25 07:17:33"
"40";"Test User 09";"P";"XII IPA";"Jawa Timur";"63";"2018-08-21 09:15:30";"2018-08-22 15:51:11"
"41";"Test User 10";"P";"XI IPA";"Jawa Tengah";"64";"2018-08-21 09:21:05";"2018-08-22 16:36:17"
"42";"Test User 11";"L";"XI IPA";"Jawa Timur";"65";"2018-08-21 09:50:20";"2018-08-26 21:23:47"
"43";"Test User 12";"P";"XI IPA";"Jawa Timur";"66";"2018-08-21 09:53:02";"2018-08-25 21:43:54"
"44";"Test User 13";"P";"XII IPA";"Jawa Tengah";"67";"2018-08-21 10:03:38";"2018-08-21 10:19:31"
"45";"Test User 14";"P";"XI IPA";"D.K.I Jakarta";"69";"2018-08-21 12:24:18";"2018-08-21 12:24:47"
"46";"Test User 15";"P";"XI IPA";"Jawa Barat";"71";"2018-08-21 12:28:02";"2018-08-21 23:20:32"
"47";"Test User 16";"P";"XI IPA";"Jawa Tengah";"72";"2018-08-21 12:59:09";"2018-09-14 14:55:20"
"48";"Test User 17";"P";"XII IPA";"Maluku Utara";"73";"2018-08-21 13:38:27";"2018-08-21 13:39:57"
"49";"Test User 18";"L";"XII IPA";"Jawa Barat";"74";"2018-08-21 13:57:04";"2018-08-21 13:57:42"
"50";"Test User 19";"L";"XI IPA";"Aceh";"75";"2018-08-21 14:26:03";"2018-08-21 14:26:25"
"51";"Test User 20";"P";"XII IPA";"Lainnya";"76";"2018-08-21 19:40:44";"2018-08-26 22:32:45"
"52";"Test User 21";"P";"XI IPA";"Jawa Tengah";"68";"2018-08-23 03:54:21";"2018-08-23 03:58:41"
"53";"Test User 22";"P";"XI IPA";"Aceh";"78";"2018-08-26 03:08:27";"2018-08-26 07:16:12"
"54";"Test User 23";"L";"XI IPA";"D.I Yogyakarta";"79";"2018-08-26 03:40:34";"2018-09-16 10:05:39"
"55";"Test User 24";"P";"XII IPA";"Jawa Timur";"80";"2018-08-27 12:18:16";"2018-08-27 12:19:08"
"56";"Test User 25";"P";"XI IPA";"Bali";"82";"2018-09-01 00:31:22";"2018-09-03 09:21:44"
"57";"Test User 26";"P";"XI IPA";"Aceh";"3";"2018-10-09 03:16:52";"2018-10-09 03:17:39"
"58";"Test User 27";"L";"XI IPA";"Jambi";"84";"2018-10-15 03:45:09";"2019-07-10 08:56:54"
"59";"Test User 28";"P";"XII IPA";"Banten";"85";"2018-10-19 02:33:56";"2018-10-19 02:40:05"
"60";"Test User 29";"Default";"XI IPA";"Default";"87";"2019-02-27 10:36:18";"2019-02-27 10:36:18"
"61";"Test User 30";"Default";"X IPS";"Default";"88";"2019-02-27 10:39:35";"2019-02-27 10:39:35"
"62";"Naruto Uzumaki Real";"Default";"X SMK";"Default";"89";"2019-02-27 10:45:36";"2019-02-27 10:45:36"
"63";"Naruto Uzumaki Clone 01";"Default";"XII IPS";"Default";"93";"2019-02-27 11:05:49";"2019-02-27 11:05:49"
"64";"Default";"Default";"XII SMK";"Default";"94";"2019-02-27 11:09:24";"2019-02-27 11:09:24"
"65";"Default";"Default";"XI SMK";"Default";"95";"2019-02-27 13:10:52";"2019-02-27 13:10:52"
"66";"Naruto Uzumaki Clone 02";"L";"XI IPA";"Aceh";"96";"2019-02-28 04:18:19";"2019-02-28 04:20:38"
"67";"Naruto Uzumaki Clone 03";"P";"XII IPA";"Aceh";"97";"2019-02-28 04:29:46";"2019-11-29 15:54:33"
"68";"Naruto Uzumaki Clone 04";"L";"XI IPA";"3";"98";"2019-02-28 04:35:12";"2019-06-06 07:47:40"
"69";"Naruto Uzumaki Clone 05";"P";"XI IPA";NULL;"99";"2019-02-28 04:37:17";"2019-06-10 10:26:23"
"70";"Naruto Uzumaki Clone 06";"L";"XI IPA";"Aceh";"100";"2019-03-04 10:56:57";"2019-03-04 10:58:38"
"71";"Naruto Uzumaki Clone 07";"Default";"XII IPA";"Default";"101";"2019-03-04 11:00:55";"2019-03-04 11:00:55"
"72";"Naruto Uzumaki Clone 08";"L";"XI IPA";"Aceh";"102";"2019-03-04 11:07:27";"2019-03-04 11:08:00"
"73";"Naruto Uzumaki Clone 09";"P";"XI IPA";"Jawa Barat";"107";"2019-05-02 14:37:27";"2019-07-10 10:06:12"
"74";"Naruto Uzumaki Clone 10";"L";"XIIPA";"Sulawesi Utara";"104";"2019-05-06 04:13:40";"2019-07-09 06:40:44"
"75";"Naruto Uzumaki Clone 11";"L";"XII IPA";"Aceh";"86";"2019-05-07 15:33:09";"2019-09-25 16:18:16"
"76";"Naruto Uzumaki Clone 13";"P";"XI IPA";"Aceh";"108";"2019-05-21 07:21:06";"2019-07-10 08:49:53"
"77";"Naruto Uzumaki Clone 14";"Default";"XII IPS";"Default";"109";"2019-05-24 07:05:10";"2019-05-24 07:05:10"
"78";"Naruto Uzumaki Clone 15";"P";"XII";"9";"110";"2019-05-24 07:11:09";"2019-05-24 07:24:20"
"79";"Naruto Uzumaki Clone 16";"P";"XII IPA";"8";"111";"2019-05-24 10:13:03";"2019-05-24 10:14:18"
"80";"Default";"Default";"XII IPA";"Default";"112";"2019-05-26 03:30:24";"2019-05-26 03:30:24"
"81";"Default";"Default";"XII SMK";"Default";"113";"2019-05-28 02:25:14";"2019-05-28 02:25:14"
"82";"Default";"Default";"XI SMK";"Default";"12";"2019-06-25 08:22:37";"2019-09-18 07:32:53"
"83";"Default";"Default";"XI IPA";"Default";"116";"2019-07-01 04:06:14";"2019-07-01 04:06:14"
"84";"Naruto Uzumaki Clone 17";"L";"XII IPA";"Kalimantan Selatan";"117";"2019-07-11 07:14:06";"2019-07-11 08:18:21"
"85";"Naruto Uzumaki Clone 19";"L";"XII IPA";"D.K.I Jakarta";"118";"2019-07-29 07:51:57";"2019-07-29 07:52:39"
"86";"Default";"Default";"XI IPS";"Default";"119";"2019-08-14 15:43:14";"2019-08-14 15:43:14"
"87";"Naruto Uzumaki Clone 20";"P";"XI IPA";"Aceh";"120";"2019-08-28 11:36:55";"2019-08-28 11:57:54"
"88";"Naruto Uzumaki Clone 21";"L";"XII IPA";"Aceh";"121";"2019-08-28 14:32:20";"2019-08-28 18:25:27"
"89";"Naruto Uzumaki Clone 22";"P";"XI IPA";"Aceh";"122";"2019-08-28 18:37:37";"2019-08-28 18:46:50"
"90";"Naruto Uzumaki Clone 23";"L";"XI IPA";"Aceh";"125";"2019-09-13 02:58:07";"2019-10-25 02:29:50"
"91";"Naruto Uzumaki Clone 24";"P";"XI IPA";"Aceh";"126";"2019-09-16 04:20:58";"2019-09-17 03:27:22"
"92";"Naruto Uzumaki Clone 25";"L";"XII IPA";"Aceh";"127";"2019-09-16 10:24:22";"2020-01-03 06:47:27"
"93";"Naruto Uzumaki Clone 26";"P";"XI IPA";"Aceh";"129";"2019-09-18 10:25:36";"2019-11-07 20:38:30"
"94";"Naruto Uzumaki Clone 27";"P";"XI IPA";"Bengkulu";"128";"2019-09-20 00:35:40";"2019-11-13 08:29:29"
"95";"Naruto Uzumaki Clone 28";"P";"X IPA";"Aceh";"123";"2019-09-24 04:18:58";"2020-01-03 10:22:21"
"96";"Naruto Uzumaki Clone 29";"L";"XII IPA";"Aceh";"130";"2019-09-27 03:05:50";"2019-10-30 07:56:59"
"97";"Naruto Uzumaki Clone 30";"P";"XI IPA";"Aceh";"131";"2019-10-11 07:36:30";"2019-10-17 02:08:29"
"98";"Misaka Mikoto SIster 01";"L";"XII IPA";"Aceh";"47";"2019-10-11 08:34:18";"2019-10-11 08:34:41"
"99";"Misaka Mikoto SIster 02";"P";"XI IPA";"Aceh";"135";"2019-10-16 07:46:25";"2020-01-07 03:49:15"
"100";"Default";"Default";"X IPS";"Default";"133";"2019-10-17 10:40:00";"2019-10-17 10:40:00"
"101";"Misaka Mikoto SIster 03";"L";"XI IPA";"Aceh";"136";"2019-10-17 18:15:12";"2019-10-17 18:15:46"
"102";"Misaka Mikoto SIster 04";"P";"XI IPA";"Aceh";"138";"2019-10-25 03:19:34";"2019-10-25 03:22:58"
"103";"Misaka Mikoto SIster 05";"L";"XII IPA";"D.I Yogyakarta";"139";"2019-10-28 09:25:11";"2019-12-02 03:37:13"
